"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1201","TC-CAT-39 - Tri par prix (High to Low)","","Fri Mar 06 09:13:40 UTC 2026","passed","Fri Mar 06 09:13:41 UTC 2026","","","",""
"","1147","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 09:13:05 UTC 2026","passed","Fri Mar 06 09:13:07 UTC 2026","","","",""
"","1498","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 09:13:13 UTC 2026","passed","Fri Mar 06 09:13:14 UTC 2026","","","",""
"","1166","TC-CAT-37 - Tri par nom (Z à A)","","Fri Mar 06 09:13:38 UTC 2026","passed","Fri Mar 06 09:13:39 UTC 2026","","","",""
"","1233","TC-AUTH-01 - Connexion réussie avec standard_user","","Fri Mar 06 09:13:31 UTC 2026","passed","Fri Mar 06 09:13:32 UTC 2026","","","",""
"","1106","TC-AUTH-07 - Connexion avec champs vides","","Fri Mar 06 09:13:33 UTC 2026","passed","Fri Mar 06 09:13:35 UTC 2026","","","",""
"","1119","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Fri Mar 06 09:13:09 UTC 2026","passed","Fri Mar 06 09:13:10 UTC 2026","","","",""
"","1105","TC-CAT-35 - Accès détail produit via le nom","","Fri Mar 06 09:13:20 UTC 2026","passed","Fri Mar 06 09:13:21 UTC 2026","","","",""
"","1490","Ajout de tous les produits (6 articles)","","Fri Mar 06 09:13:10 UTC 2026","passed","Fri Mar 06 09:13:11 UTC 2026","","","",""
"","1480","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 09:13:11 UTC 2026","passed","Fri Mar 06 09:13:13 UTC 2026","","","",""
"","1470","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Fri Mar 06 09:13:16 UTC 2026","passed","Fri Mar 06 09:13:17 UTC 2026","","","",""
"","1456","Soumission avec tous les champs vides","","Fri Mar 06 09:13:23 UTC 2026","passed","Fri Mar 06 09:13:24 UTC 2026","","","",""
"","1126","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Fri Mar 06 09:13:08 UTC 2026","passed","Fri Mar 06 09:13:09 UTC 2026","","","",""
"","1864","TC-AUTH-10 - Déconnexion réussie (Logout)","","Fri Mar 06 09:13:35 UTC 2026","passed","Fri Mar 06 09:13:36 UTC 2026","","","",""
"","1120","TC-CAT-34 - Accès détail produit via l'image","","Fri Mar 06 09:13:21 UTC 2026","passed","Fri Mar 06 09:13:23 UTC 2026","","","",""
"","1204","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Fri Mar 06 09:13:32 UTC 2026","passed","Fri Mar 06 09:13:33 UTC 2026","","","",""
"","1496","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Fri Mar 06 09:13:17 UTC 2026","passed","Fri Mar 06 09:13:19 UTC 2026","","","",""
"","1726","Vérification du calcul du total de la commande sans taxe","","Fri Mar 06 09:13:26 UTC 2026","passed","Fri Mar 06 09:13:28 UTC 2026","","","",""
"","1477","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 09:13:14 UTC 2026","passed","Fri Mar 06 09:13:16 UTC 2026","","","",""
"","1487","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Fri Mar 06 09:13:19 UTC 2026","passed","Fri Mar 06 09:13:20 UTC 2026","","","",""
"","1224","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent","","Fri Mar 06 09:13:36 UTC 2026","passed","Fri Mar 06 09:13:38 UTC 2026","","","",""
"","1144","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Fri Mar 06 09:13:07 UTC 2026","passed","Fri Mar 06 09:13:08 UTC 2026","","","",""
"","1169","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 09:13:04 UTC 2026","passed","Fri Mar 06 09:13:05 UTC 2026","","","",""
"","1689","Vérification du calcul de la taxe (8%)","","Fri Mar 06 09:13:28 UTC 2026","passed","Fri Mar 06 09:13:29 UTC 2026","","","",""
"","1744","Vérification du total de la commande avec taxe","","Fri Mar 06 09:13:29 UTC 2026","passed","Fri Mar 06 09:13:31 UTC 2026","","","",""
"","1819","Parcours de commande complet","","Fri Mar 06 09:13:24 UTC 2026","passed","Fri Mar 06 09:13:26 UTC 2026","","","",""
"","1199","TC-CAT-38 - Tri par prix (Low to High)","","Fri Mar 06 09:13:39 UTC 2026","passed","Fri Mar 06 09:13:40 UTC 2026","","","",""
"","10309","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 09:12:54 UTC 2026","passed","Fri Mar 06 09:13:04 UTC 2026","","","",""
